product_name,hit_count,product_type
skintific pdrn moisturizer,32850,moisturizer
torriden dive in moisturizer,32000,moisturizer
ponds super light gel moisturizer,25550,moisturizer
kiehl moisturizer,23250,moisturizer
rare beauty tinted moisturizer,17700,moisturizer
belif moisturizer,16750,moisturizer
uriage moisturizer,15800,moisturizer
tarte bb blur tinted moisturizer,6100,moisturizer
hair moisturizer for men,2700,moisturizer
skintific niacinamide moisturizer,2200,moisturizer
brother dcp-l2550dw toner,28450,toner
beauty of joseon sunscreen,20400,toner
sk2 toner,15900,toner
aestura atobarrier 365 cream,10300,toner
numbuzin no 1 toner,10050,toner
orien spray toner,9950,toner
kiehls calendula toner,9450,toner
la mer toner,2050,toner
equalberry swimming pool toner,1650,toner
hair toner for bleached hair,1400,toner
mask for haze,14250,mask
callie mask founder,5150,mask
where the mask ends,3000,mask
fully green tomato clay mask,1750,mask
siot rice jam mask,700,mask
what is a subnet mask,650,mask
callie mask,250,mask
tomb of the mask,250,mask
k18 hair mask,200,mask
kf94 mask,190,mask
scentopia free perfume,25050,perfume
narciso rodriguez for her,7350,perfume
chanel 1957 perfume,190,perfume
dossier perfume,150,perfume
dior addict perfume,130,perfume
ck one perfume,130,perfume
perfume the story of a murderer,110,perfume
kylie jenner perfume,110,perfume
dior perfume women,90,perfume
baccarat rouge 540,70,perfume
iwawa blush,163900,blush
iwawa liquid blush,64200,blush
rhode sleepy girl blush,46500,blush
hourglass ambient lighting blush,34950,blush
merit blush,33750,blush
nars behave blush,32850,blush
aztk liquid blush,30500,blush
prada blush,23350,blush
luminous silk glow blush,19900,blush
aztk jello color liquid blush,19450,blush
